300
24
43
[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]
[[0,1,800,1],
[0,5,1000,1],
[1,2,1100,1],
[1,5,950,1],
[2,3,250,1],
[2,4,1000,1],
[2,6,1000,1],
[3,4,800,1],
[3,6,850,1],
[4,7,1200,1],
[5,6,1000,1],
[5,8,1200,1],
[5,10,1900,1],
[6,7,1150,1],
[6,8,1000,1],
[7,9,900,1],
[8,9,1000,1],
[8,10,1400,1],
[8,11,1000,1],
[9,12,950,1],
[9,13,850,1],
[10,11,900,1],
[10,14,1300,1],
[10,18,2600,1],
[11,12,1000,1],
[11,15,1000,1],
[12,13,650,1],
[12,16,1100,1],
[13,17,1200,1],
[14,15,600,1],
[14,19,1300,1],
[14,21,1000,1],
[15,16,800,1],
[15,21,800,1],
[16,17,800,1],
[16,21,850,1],
[16,22,1000,1],
[17,23,900,1],
[18,19,1200,1],
[19,20,700,1],
[20,21,300,1],
[21,22,600,1],
[22,23,900,1]]
[<1,2>,400
<1,3>,500
<1,4>,200
<1,5>,500
<1,6>,100
<1,7>,100
<1,8>,500
<1,9>,300
<1,10>,100
<1,11>,300
<1,12>,300
<1,13>,100
<1,14>,400
<1,15>,500
<1,17>,200
<1,18>,500
<1,19>,400
<1,20>,500
<1,21>,300
<1,22>,500
<1,23>,500
<1,24>,300
<2,3>,300
<2,4>,300
<2,5>,200
<2,6>,300
<2,7>,500
<2,8>,100
<2,9>,100
<2,10>,200
<2,11>,100
<2,12>,400
<2,13>,500
<2,14>,500
<2,15>,400
<2,16>,200
<2,17>,300
<2,18>,300
<2,19>,200
<2,20>,200
<2,21>,400
<2,22>,400
<2,23>,500
<2,24>,200
<3,4>,500
<3,5>,400
<3,6>,400
<3,7>,300
<3,8>,500
<3,9>,100
<3,10>,400
<3,11>,500
<3,12>,200
<3,14>,500
<3,15>,500
<3,16>,400
<3,17>,400
<3,18>,500
<3,19>,100
<3,20>,300
<3,21>,500
<3,22>,100
<3,23>,300
<3,24>,500
<4,5>,500
<4,6>,100
<4,7>,500
<4,8>,300
<4,9>,300
<4,10>,500
<4,11>,400
<4,12>,200
<4,13>,500
<4,14>,500
<4,15>,400
<4,16>,500
<4,17>,200
<4,18>,100
<4,19>,200
<4,20>,300
<4,21>,400
<4,22>,300
<4,23>,400
<4,24>,200
<5,6>,300
<5,7>,200
<5,8>,500
<5,9>,500
<5,10>,200
<5,11>,400
<5,12>,500
<5,13>,400
<5,14>,300
<5,15>,200
<5,16>,500
<5,17>,400
<5,18>,200
<5,19>,100
<5,20>,500
<5,21>,200
<5,22>,500
<5,23>,500
<5,24>,500
<6,7>,300
<6,8>,300
<6,9>,300
<6,10>,500
<6,12>,200
<6,13>,300
<6,14>,500
<6,15>,500
<6,16>,400
<6,17>,200
<6,18>,400
<6,19>,200
<6,20>,100
<6,21>,300
<6,22>,500
<6,23>,500
<6,24>,400
<7,8>,100
<7,9>,500
<7,10>,500
<7,11>,400
<7,12>,200
<7,13>,300
<7,14>,300
<7,15>,200
<7,16>,500
<7,17>,500
<7,18>,500
<7,19>,300
<7,20>,500
<7,21>,500
<7,22>,100
<7,23>,300
<7,24>,300
<8,9>,400
<8,10>,300
<8,11>,200
<8,12>,400
<8,13>,400
<8,14>,400
<8,15>,400
<8,16>,500
<8,17>,400
<8,19>,500
<8,20>,500
<8,21>,400
<8,22>,400
<8,23>,400
<8,24>,500
<9,10>,500
<9,11>,500
<9,12>,200
<9,13>,200
<9,14>,300
<9,15>,100
<9,16>,100
<9,17>,300
<9,18>,200
<9,19>,300
<9,20>,500
<9,21>,200
<9,22>,500
<9,23>,500
<9,24>,200
<10,11>,200
<10,12>,300
<10,13>,100
<10,14>,500
<10,15>,200
<10,16>,500
<10,17>,300
<10,18>,100
<10,19>,500
<10,20>,500
<10,21>,200
<10,22>,500
<10,23>,400
<10,24>,200
<11,12>,100
<11,13>,300
<11,14>,200
<11,15>,400
<11,16>,300
<11,17>,300
<11,18>,400
<11,19>,500
<11,20>,300
<11,21>,400
<11,23>,500
<11,24>,400
<12,13>,400
<12,15>,500
<12,17>,300
<12,18>,100
<12,19>,400
<12,20>,500
<12,21>,300
<12,22>,500
<12,23>,100
<12,24>,200
<13,14>,300
