Iteration, Throughput, GoSAgg, GoSSep
0, 84000, 840, 840
1, 84000, 840, 840
2, 83900, 839, 839
3, 83900, 839, 839
4, 84000, 840, 840
5, 84000, 840, 840
6, 84000, 840, 840
7, 84000, 840, 840
8, 84000, 840, 840
9, 84000, 840, 840
10, 84000, 840, 840
11, 84000, 840, 840
12, 84000, 840, 840
13, 84000, 840, 840
14, 84000, 840, 840
15, 84000, 840, 840
16, 84000, 840, 840
17, 84000, 840, 840
18, 84000, 840, 840
19, 84100, 841, 841
20, 84100, 841, 841
21, 84100, 841, 841
22, 84100, 841, 841
23, 84100, 841, 841
24, 84100, 841, 841
25, 84100, 841, 841
26, 84100, 841, 841
27, 84100, 841, 841
28, 84100, 841, 841
29, 84100, 841, 841
30, 84100, 841, 841
31, 84100, 841, 841
32, 84100, 841, 841
33, 84100, 841, 841
34, 84100, 841, 841
35, 84100, 841, 841
36, 84100, 841, 841
37, 84100, 841, 841
38, 84100, 841, 841
39, 84100, 841, 841
40, 84100, 841, 841
41, 84100, 841, 841
42, 84100, 841, 841
43, 84100, 841, 841
44, 84100, 841, 841
45, 84100, 841, 841
46, 84100, 841, 841
47, 84100, 841, 841
48, 84100, 841, 841
49, 84100, 841, 841
50, 84100, 841, 841
51, 84100, 841, 841
52, 84100, 841, 841
53, 84100, 841, 841
54, 84100, 841, 841
55, 84100, 841, 841
56, 84100, 841, 841
57, 84100, 841, 841
58, 84100, 841, 841
59, 84100, 841, 841
60, 84100, 841, 841
61, 84100, 841, 841
62, 84100, 841, 841
63, 84100, 841, 841
64, 84100, 841, 841
65, 84100, 841, 841
66, 84100, 841, 841
67, 84100, 841, 841
68, 84100, 841, 841
69, 84100, 841, 841
70, 84100, 841, 841
71, 84100, 841, 841
72, 84100, 841, 841
73, 84100, 841, 841
74, 84100, 841, 841
75, 84100, 841, 841
76, 84100, 841, 841
77, 84100, 841, 841
78, 84100, 841, 841
79, 84100, 841, 841
80, 84100, 841, 841
81, 84100, 841, 841
82, 84100, 841, 841
83, 84100, 841, 841
84, 84100, 841, 841
85, 84100, 841, 841
86, 84100, 841, 841
87, 84100, 841, 841
88, 84100, 841, 841
89, 84100, 841, 841
90, 84100, 841, 841
91, 84100, 841, 841
92, 84100, 841, 841
93, 84100, 841, 841
94, 84100, 841, 841
95, 84100, 841, 841
96, 84100, 841, 841
97, 84100, 841, 841
98, 84100, 841, 841
99, 84100, 841, 841
100, 84100, 841, 841
101, 84100, 841, 841
102, 84100, 841, 841
103, 84100, 841, 841
104, 84100, 841, 841
105, 84100, 841, 841
106, 84100, 841, 841
107, 84100, 841, 841
108, 84100, 841, 841
109, 84100, 841, 841
110, 84100, 841, 841
111, 84100, 841, 841
112, 84100, 841, 841
113, 84100, 841, 841
114, 84100, 841, 841
115, 84100, 841, 841
116, 84100, 841, 841
117, 84100, 841, 841
118, 84100, 841, 841
119, 84100, 841, 841
120, 84100, 841, 841
121, 84100, 841, 841
122, 84100, 841, 841
123, 84100, 841, 841
124, 84100, 841, 841
125, 84100, 841, 841
126, 84100, 841, 841
127, 84000, 840, 840
128, 84000, 840, 840
129, 84000, 840, 840
130, 84000, 840, 840
131, 84000, 840, 840
132, 84000, 840, 840
133, 84000, 840, 840
134, 84000, 840, 840
135, 84000, 840, 840
136, 84000, 840, 840
137, 84000, 840, 840
138, 84000, 840, 840
139, 84000, 840, 840
140, 84000, 840, 840
141, 84000, 840, 840
142, 84000, 840, 840
143, 84000, 840, 840
144, 84000, 840, 840
145, 84000, 840, 840
146, 84000, 840, 840
147, 84000, 840, 840
148, 84000, 840, 840
149, 84000, 840, 840
150, 84000, 840, 840
151, 84000, 840, 840
152, 83900, 839, 839
153, 83900, 839, 839
154, 84000, 840, 840
155, 84000, 840, 840
156, 84000, 840, 840
157, 84000, 840, 840
158, 84000, 840, 840
159, 84000, 840, 840
160, 84000, 840, 840
161, 84000, 840, 840
162, 84000, 840, 840
163, 84000, 840, 840
164, 84000, 840, 840
165, 84000, 840, 840
166, 84000, 840, 840
167, 84000, 840, 840
168, 84000, 840, 840
169, 84000, 840, 840
170, 84000, 840, 840
171, 84000, 840, 840
172, 84000, 840, 840
173, 84000, 840, 840
174, 84000, 840, 840
175, 84000, 840, 840
176, 84000, 840, 840
177, 84000, 840, 840
178, 84000, 840, 840
179, 84000, 840, 840
180, 84000, 840, 840
181, 84000, 840, 840
182, 84000, 840, 840
183, 84000, 840, 840
184, 84000, 840, 840
185, 84000, 840, 840
186, 84000, 840, 840
187, 84000, 840, 840
188, 84000, 840, 840
189, 84000, 840, 840
190, 84000, 840, 840
191, 84000, 840, 840
192, 84000, 840, 840
193, 84000, 840, 840
194, 84000, 840, 840
195, 84000, 840, 840
196, 84000, 840, 840
197, 84000, 840, 840
198, 84000, 840, 840
199, 84000, 840, 840
200, 84000, 840, 840
201, 84000, 840, 840
202, 84000, 840, 840
203, 84000, 840, 840
204, 84000, 840, 840
205, 84000, 840, 840
206, 84000, 840, 840
207, 84000, 840, 840
208, 84000, 840, 840
209, 84000, 840, 840
210, 84000, 840, 840
211, 84000, 840, 840
212, 84000, 840, 840
213, 83900, 839, 839
214, 83900, 839, 839
215, 83900, 839, 839
216, 83900, 839, 839
217, 83900, 839, 839
218, 83900, 839, 839
219, 83900, 839, 839
220, 83900, 839, 839
221, 83900, 839, 839
222, 83900, 839, 839
223, 83900, 839, 839
224, 83900, 839, 839
225, 83900, 839, 839
226, 83900, 839, 839
227, 83900, 839, 839
228, 83900, 839, 839
229, 83900, 839, 839
230, 83900, 839, 839
231, 83900, 839, 839
232, 83900, 839, 839
233, 83900, 839, 839
234, 83900, 839, 839
235, 83900, 839, 839
236, 83900, 839, 839
237, 83900, 839, 839
238, 83900, 839, 839
239, 83900, 839, 839
240, 83900, 839, 839
241, 83900, 839, 839
242, 83900, 839, 839
243, 83900, 839, 839
244, 83900, 839, 839
245, 83900, 839, 839
246, 83900, 839, 839
247, 83900, 839, 839
248, 83900, 839, 839
249, 83900, 839, 839
250, 83900, 839, 839
251, 83900, 839, 839
252, 83900, 839, 839
253, 83900, 839, 839
254, 83900, 839, 839
255, 83900, 839, 839
256, 83900, 839, 839
257, 83900, 839, 839
258, 83900, 839, 839
259, 83900, 839, 839
260, 83900, 839, 839
261, 83900, 839, 839
262, 83900, 839, 839
263, 83900, 839, 839
264, 83900, 839, 839
265, 83900, 839, 839
266, 83900, 839, 839
267, 83900, 839, 839
268, 83900, 839, 839
269, 83900, 839, 839
270, 83900, 839, 839
271, 83900, 839, 839
272, 83900, 839, 839
273, 83900, 839, 839
274, 83900, 839, 839
275, 83900, 839, 839
276, 83800, 838, 838
277, 83900, 839, 839
278, 83900, 839, 839
279, 83900, 839, 839
280, 83900, 839, 839
281, 83900, 839, 839
282, 83900, 839, 839
283, 83900, 839, 839
284, 83900, 839, 839
285, 83900, 839, 839
286, 83900, 839, 839
287, 83900, 839, 839
288, 83900, 839, 839
289, 83900, 839, 839
290, 83900, 839, 839
291, 83900, 839, 839
292, 83900, 839, 839
293, 83900, 839, 839
294, 83900, 839, 839
295, 83900, 839, 839
296, 83900, 839, 839
297, 83900, 839, 839
298, 83900, 839, 839
299, 83800, 838, 838
300, 83800, 838, 838
301, 83800, 838, 838
302, 83800, 838, 838
303, 83800, 838, 838
304, 83800, 838, 838
305, 83800, 838, 838
306, 83800, 838, 838
307, 83800, 838, 838
308, 83900, 839, 839
309, 83800, 838, 838
310, 83900, 839, 839
311, 83800, 838, 838
312, 83800, 838, 838
313, 83800, 838, 838
314, 83800, 838, 838
315, 83800, 838, 838
316, 83800, 838, 838
317, 83800, 838, 838
318, 83800, 838, 838
319, 83800, 838, 838
320, 83800, 838, 838
321, 83700, 837, 837
322, 83700, 837, 837
323, 83700, 837, 837
324, 83700, 837, 837
325, 83700, 837, 837
326, 83700, 837, 837
327, 83700, 837, 837
328, 83700, 837, 837
329, 83700, 837, 837
330, 83700, 837, 837
331, 83700, 837, 837
332, 83700, 837, 837
333, 83700, 837, 837
334, 83700, 837, 837
335, 83700, 837, 837
336, 83700, 837, 837
337, 83700, 837, 837
338, 83700, 837, 837
339, 83700, 837, 837
340, 83700, 837, 837
341, 83700, 837, 837
342, 83700, 837, 837
343, 83700, 837, 837
344, 83700, 837, 837
345, 83700, 837, 837
346, 83700, 837, 837
347, 83700, 837, 837
348, 83700, 837, 837
349, 83700, 837, 837
350, 83700, 837, 837
351, 83700, 837, 837
352, 83700, 837, 837
353, 83700, 837, 837
354, 83700, 837, 837
355, 83700, 837, 837
356, 83700, 837, 837
357, 83700, 837, 837
358, 83700, 837, 837
359, 83700, 837, 837
360, 83700, 837, 837
361, 83800, 838, 838
362, 83800, 838, 838
363, 83800, 838, 838
364, 83800, 838, 838
365, 83800, 838, 838
366, 83800, 838, 838
367, 83800, 838, 838
368, 83800, 838, 838
369, 83800, 838, 838
370, 83800, 838, 838
371, 83800, 838, 838
372, 83800, 838, 838
373, 83800, 838, 838
374, 83800, 838, 838
375, 83800, 838, 838
376, 83800, 838, 838
377, 83800, 838, 838
378, 83800, 838, 838
379, 83800, 838, 838
380, 83800, 838, 838
381, 83800, 838, 838
382, 83800, 838, 838
383, 83800, 838, 838
384, 83800, 838, 838
385, 83800, 838, 838
386, 83800, 838, 838
387, 83800, 838, 838
388, 83800, 838, 838
389, 83800, 838, 838
390, 83800, 838, 838
391, 83800, 838, 838
392, 83800, 838, 838
393, 83800, 838, 838
394, 83800, 838, 838
395, 83800, 838, 838
396, 83800, 838, 838
397, 83800, 838, 838
398, 83800, 838, 838
399, 83800, 838, 838
400, 83800, 838, 838
401, 83800, 838, 838
402, 83800, 838, 838
403, 83800, 838, 838
404, 83800, 838, 838
405, 83800, 838, 838
406, 83800, 838, 838
407, 83800, 838, 838
408, 83800, 838, 838
409, 83800, 838, 838
410, 83800, 838, 838
411, 83800, 838, 838
412, 83800, 838, 838
413, 83800, 838, 838
414, 83800, 838, 838
415, 83800, 838, 838
416, 83800, 838, 838
417, 83800, 838, 838
418, 83800, 838, 838
419, 83800, 838, 838
420, 83800, 838, 838
421, 83800, 838, 838
422, 83800, 838, 838
423, 83700, 837, 837
424, 83800, 838, 838
425, 83800, 838, 838
426, 83800, 838, 838
427, 83700, 837, 837
428, 83800, 838, 838
429, 83800, 838, 838
430, 83800, 838, 838
431, 83800, 838, 838
432, 83800, 838, 838
433, 83800, 838, 838
434, 83800, 838, 838
435, 83800, 838, 838
436, 83800, 838, 838
437, 83800, 838, 838
438, 83800, 838, 838
439, 83800, 838, 838
440, 83800, 838, 838
441, 83800, 838, 838
442, 83800, 838, 838
443, 83800, 838, 838
444, 83800, 838, 838
445, 83800, 838, 838
446, 83800, 838, 838
447, 83800, 838, 838
448, 83800, 838, 838
449, 83800, 838, 838
450, 83600, 836, 836
451, 83600, 836, 836
452, 83700, 837, 837
453, 83700, 837, 837
454, 83700, 837, 837
455, 83700, 837, 837
456, 83700, 837, 837
457, 83700, 837, 837
