Iteration, Throughput, GoSAgg, GoSSep
0, 124100, 149, 1241
1, 125700, 151, 1257
2, 127200, 153, 1272
3, 128500, 155, 1285
4, 129600, 157, 1296
5, 130100, 158, 1301
6, 130500, 159, 1305
7, 131200, 160, 1312
8, 131700, 161, 1317
9, 131800, 161, 1318
10, 131900, 161, 1319
11, 131900, 161, 1319
12, 131900, 161, 1319
13, 131900, 161, 1319
14, 132000, 161, 1320
15, 132000, 161, 1320
16, 132000, 161, 1320
17, 132100, 161, 1321
18, 132500, 162, 1325
19, 132500, 162, 1325
20, 132500, 162, 1325
21, 132500, 162, 1325
22, 132500, 162, 1325
23, 132500, 162, 1325
24, 132500, 162, 1325
25, 132500, 162, 1325
26, 133000, 163, 1330
27, 133000, 163, 1330
28, 133000, 163, 1330
29, 133000, 163, 1330
30, 133000, 163, 1330
31, 133000, 163, 1330
32, 133700, 164, 1337
33, 134600, 165, 1346
34, 135100, 166, 1351
35, 135100, 166, 1351
36, 135100, 166, 1351
37, 135100, 166, 1351
38, 135100, 166, 1351
39, 135100, 166, 1351
40, 135100, 166, 1351
41, 135100, 166, 1351
42, 135100, 166, 1351
43, 135100, 166, 1351
44, 135200, 166, 1352
45, 135100, 166, 1351
46, 135200, 166, 1352
47, 135100, 166, 1351
48, 135100, 166, 1351
49, 135800, 167, 1358
50, 135800, 167, 1358
51, 135800, 167, 1358
52, 135800, 167, 1358
53, 135800, 167, 1358
54, 135800, 167, 1358
55, 135800, 167, 1358
56, 135800, 167, 1358
57, 135800, 167, 1358
58, 135800, 167, 1358
59, 135800, 167, 1358
60, 135800, 167, 1358
61, 135800, 167, 1358
62, 135800, 167, 1358
63, 135900, 167, 1359
64, 135900, 167, 1359
65, 135900, 167, 1359
66, 135900, 167, 1359
67, 136000, 167, 1360
68, 136000, 167, 1360
69, 135900, 167, 1359
70, 135900, 167, 1359
71, 135900, 167, 1359
72, 135900, 167, 1359
73, 135900, 167, 1359
74, 135900, 167, 1359
75, 135800, 167, 1358
76, 136300, 168, 1363
77, 136300, 168, 1363
78, 136300, 168, 1363
79, 136300, 168, 1363
80, 136300, 168, 1363
81, 136300, 168, 1363
82, 136300, 168, 1363
83, 136300, 168, 1363
84, 136300, 168, 1363
85, 136300, 168, 1363
86, 136300, 168, 1363
87, 136400, 168, 1364
88, 136400, 168, 1364
89, 136400, 168, 1364
90, 136400, 168, 1364
91, 136300, 168, 1363
92, 136300, 168, 1363
93, 136400, 168, 1364
94, 136600, 168, 1366
95, 136600, 168, 1366
96, 136600, 168, 1366
97, 136500, 168, 1365
98, 136600, 168, 1366
99, 136500, 168, 1365
100, 137100, 169, 1371
101, 137200, 169, 1372
102, 137200, 169, 1372
103, 137700, 170, 1377
104, 137800, 170, 1378
105, 137800, 170, 1378
106, 138200, 170, 1382
107, 138100, 170, 1381
108, 138200, 170, 1382
109, 138100, 170, 1381
110, 138200, 170, 1382
111, 138300, 170, 1383
112, 138300, 170, 1383
113, 138400, 170, 1384
114, 138300, 170, 1383
115, 138400, 170, 1384
116, 138300, 170, 1383
117, 138400, 170, 1384
118, 138300, 170, 1383
119, 138300, 170, 1383
120, 138200, 170, 1382
121, 138200, 170, 1382
122, 138300, 170, 1383
123, 138300, 170, 1383
124, 138300, 170, 1383
125, 138200, 170, 1382
126, 138200, 170, 1382
127, 138200, 170, 1382
128, 138200, 170, 1382
129, 138200, 170, 1382
130, 138200, 170, 1382
131, 138200, 170, 1382
132, 138100, 170, 1381
133, 138100, 170, 1381
134, 138500, 171, 1385
135, 138500, 171, 1385
136, 138500, 171, 1385
137, 138900, 172, 1389
138, 138900, 172, 1389
139, 138900, 172, 1389
140, 139100, 172, 1391
141, 139000, 172, 1390
142, 138900, 172, 1389
143, 139000, 172, 1390
144, 138900, 172, 1389
145, 138900, 172, 1389
146, 138900, 172, 1389
147, 138900, 172, 1389
148, 138900, 172, 1389
149, 138900, 172, 1389
150, 138900, 172, 1389
151, 138900, 172, 1389
152, 138900, 172, 1389
153, 138900, 172, 1389
154, 138800, 172, 1388
